Date,UN RATE,FEDFUNDS
2015/3/31,5.533333333,0.11
2015/6/30,5.433333333,0.123333333
2015/9/30,5.1,0.136666667
2015/12/31,5.033333333,0.16
2016/3/31,4.9,0.36
2016/6/30,4.933333333,0.373333333
2016/9/30,4.9,0.396666667
2016/12/31,4.766666667,0.45
2017/3/31,4.566666667,0.7
2017/6/30,4.366666667,0.95
2017/9/30,4.333333333,1.153333333
2017/12/31,4.166666667,1.203333333
2018/3/31,4.033333333,1.446666667
2018/6/30,3.933333333,1.736666667
2018/9/30,3.766666667,1.923333333
2018/12/31,3.833333333,2.22
2019/3/31,3.866666667,2.403333333
2019/6/30,3.633333333,2.396666667
2019/9/30,3.6,2.19
2019/12/31,3.6,1.643333333
2020/3/31,3.833333333,1.26
2020/6/30,13,0.06
2020/9/30,8.8,0.093333333
2020/12/31,6.733333333,0.09
2021/3/31,6.233333333,0.08
2021/6/30,5.933333333,0.07
2021/9/30,5.066666667,0.09
2021/12/31,4.166666667,0.08
2022/3/31,3.8,0.12
2022/6/30,3.633333333,0.77
2022/9/30,3.533333333,2.19
2022/12/31,3.566666667,3.653333333
2023/3/31,3.5,4.516666667
2023/6/30,3.566666667,4.99
2023/9/30,3.7,5.26
2023/12/31,3.733333333,5.33
2024/3/31,3.8,5.33
